Color,Discount Price,Original Price,URL,Dimensions,CPU,GPU_Model,Screen,Storage,Ram_Model,Battery,RAM,Weight,Storage_Model,GPU
,,,https://meghdadit.com/product/62730/lenovo-y720-core-i7-16gb-1tb-6gb-full-hd-external-odd-drive-laptop/,29 * 277 * 380 mm,INTEL i7-7700HQ 2.8 Ghz,Nvidia Gforce 1060,IPS LCD 1080 * 1920,1 TB HDD,DDR4,,16 GB,3.2 kg,SATA,6 GB 
,,,https://meghdadit.com/product/47976/asus-rog-gl552vw-core-i7-12gb-2tb128gb-ssd-4gb-4k-laptop/,32.4 * 255 * 385 mm,INTEL i7-6700HQ 2.6 Ghz,Nvidia Gforce GTX 960M GDDR5,IPS LCD 2160 * 3840,128 GB SSD + 2 TB HDD,DDR4,3200 mAh,12 GB,2.6 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/47130/asus-e202sa-n3060-4gb-500gb-intel-laptop/,21.4 * 194 * 297 mm,INTEL Celeron-N3060 1.6 Ghz,Intel HD Graphics 400,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,48 وات‌ساعت,4 GB,1.25 kg,SATA,
,,,https://meghdadit.com/product/47089/asus-rog-g752vy-core-i7-32gb-2tb-4gb-full-hd-laptop/,23-51 * 334 * 428 mm,INTEL i7-6700HQ 2.6 Ghz,Nvidia Gforce GTX 980M GDDR5,IPS LCD 1080 * 1920,2 TB HDD,DDR4,88 Wh,32 GB,4.4 kg,SATA,4 GB
,,,https://meghdadit.com/product/46579/asus-k555dg-a10-8700p-12gb-2tb-3gb-laptop/,25.8 * 256 * 382 mm,AMD A10-8700P 1.8 Ghz,AMD Radeon R8 M350X,LED-backlit LCD 768 * 1366,2 TB HDD,DDR3,,12 GB,2.3 kg,SATA,3 GB
,,,https://meghdadit.com/product/45998/asus-k540lj-core-i5-4gb-500gb-2gb-laptop/,27.2 * 251.5 * 381.4 mm,INTEL i5-5200U 2.2 Ghz,Nvidia Gforce GT 920M,TFT LED-Backlit LCD 768 * 1366,500 GB HDD,DDR3,33 Wh,4 GB,1.9 kg,SATA,2 GB 
,,,https://meghdadit.com/product/44565/asus-k550jx-core-i5-6gb-1tb-2gb-laptop/,31.7 ~ 29.2 * 292 * 380 mm,INTEL i5-4200 2.5 Ghz,Nvidia Gforce GTX 950M,TFT LED-Backlit LCD 768 * 1366,1 TB HDD,DDR3,44 Wh,6 GB,2.45 kg,SATA,2 GB 
,,,https://meghdadit.com/product/45946/asus-k556ur-core-i5-6gb-1tb-2gb-full-hd-laptop/,25.5 * 251 * 378 mm,INTEL i5-7200U 2.3 Ghz,Nvidia Gforce GeForce 930MX,FULL HD 1080 * 1920,1 TB HDD,DDR3,38 Wh,6 GB,2.3 kg,SATA,2 GB 
,,,https://meghdadit.com/product/45637/asus-x302lj-core-i3-4gb-500gb-2gb-laptop/,328 * 234 * 25.6 mm,INTEL i3-5005U 2.0 Ghz,Nvidia Gforce GT 920M,TFT LED-Backlit LCD 768 * 1366,500 GB HDD,DDR3,38 Wh,4 GB,1.59 kg,SATA,2 GB 
,,,https://meghdadit.com/product/43485/asus-k556ur-core-i7-8gb-1tb-2gb-full-hd-laptop/,25.5 * 251 * 378 mm,INTEL i7-7500U 2.5 Ghz,Nvidia Gforce GeForce 930MX,TFT LED-Backlit LCD 1080 * 1920,1 TB HDD,DDR3,38 Wh,8 GB,2.3 kg,SATA,2 GB 
