Color,Discount Price,Original Price,URL,Dimensions,CPU,GPU_Model,Screen,Storage,Ram_Model,Battery,RAM,Weight,Storage_Model,GPU
Silver,"44,150,000 ","44,650,000",https://meghdadit.com/product/134503/hp-fd0237nia-c-core-i7-1355u-8gb-1tb-ssd-2gb-full-hd-laptop/,359x236x18 mm,,Nvidia Gforce GeForce MX550 GDDR6 - 2GB,FHD IPS 1080 * 1920,1 TB HDD,DDR4,41Wh,16 GB,1.59 kg,SSD,
Black,"45,388,000 ","45,388,000 ",https://meghdadit.com/product/123835/hp-omen-16-c0002dx-a-ryzen-7-5800h-16gb-1tb-ssd-8gb-rx6600m-full-hd-ips-laptop/,369x248x23 mm,AMD Ryzen 7 5800H 3.2 Ghz,AMD Radeon Radeon RX6600M GDD6,IPS 1080 * 1920,1 TB HDD,DDR4,70 Wh,16 GB,2.3 kg,SSD,8 GB 
Black,"47,480,000 ","47,480,000 ",https://meghdadit.com/product/123845/hp-omen-16-c0002dx-b-ryzen-7-5800h-32gb-1tb-ssd-8gb-rx6600m-full-hd-ips-laptop/,369x248x23 mm,AMD Ryzen 7 5800H 3.2 Ghz,AMD Radeon Radeon RX6600M GDD6,IPS 1080 * 1920,1 TB HDD,DDR4,70 Wh,32 GB,2.3 kg,SSD,8 GB 
Silver,"139,000,000 ","140,000,000",https://meghdadit.com/product/123560/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-2tb-ssd-4gb-rtx-a20/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce RTX™ A2000,PixelSense™ Display 1600 * 2560,2 TB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,32 GB,1.8 kg,SSD,4 GB
Silver,"93,383,000 ","94,383,000",https://meghdadit.com/product/123563/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-16gb-512gb-ssd-4gb-rtx-3/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,PixelSense™ Display 1600 * 2560,512 GB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,16 GB,1.8 kg,SSD,4 GB
Silver,"134,000,000 ","135,000,000",https://meghdadit.com/product/123570/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-2tb-ssd-4gb-rtx-305/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,PixelSense™ Display 1600 * 2560,2 TB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,32 GB,1.8 kg,SSD,4 GB
Silver,"119,300,000 ","120,300,000",https://meghdadit.com/product/123571/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-1tb-ssd-4gb-rtx-305/,323.28 * 228.32 * 18.94 mm,INTEL i7-11370H 3.3 Ghz,Nvidia Gforce NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,PixelSense™ Display 1600 * 2560,1 TB HDD,DDR4,Battery Capacity Nominal (WH): 58.0Battery Capacity Min (WH): 56.3,32 GB,1.8 kg,SSD,4 GB
Black,"72,500,000 ","73,500,000",https://meghdadit.com/product/121065/microsoft-surface-laptop-3-core-i7-32gb-1tb-ssd-intel-touch-15-inch-laptop/,,,Intel Intel Iris Plus Graphics,PixelSense™ Display 2256 * 1504,1 TB HDD,DDR4,,32 GB,1.2 kg,SSD,
Black,"49,300,000 ","50,300,000",https://meghdadit.com/product/122454/microsoft-surface-laptop-4-corei5-8gb-512gb-laptop/,308x223x14.5 mm,,Intel Intel® Iris® Xe,PixelSense™ Display 2256 * 1504,512 GB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,8 GB,1.2 kg,SSD,
Silver,"36,480,000 ","37,480,000",https://meghdadit.com/product/122195/microsoft-surface-laptop-4-ryzen5-8gb-256gb-laptop/,308x223x14.5 mm,,AMD Radeon AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,PixelSense™ Display 2256 * 1504,256 GB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,8 GB,1.2 kg,SSD,
Black,"82,300,000 ","83,300,000",https://meghdadit.com/product/122456/microsoft-surface-laptop-4-13-5inch-core-i7-1185g7-32gb-1tb-ssd-intel-touch-lapt/,308x223x14.5 mm,,Intel Intel® Iris® Xe,PixelSense™ Display 2256 * 1504,1 TB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,32 GB,1.2 kg,SSD,
Black,"56,888,000 ","57,888,000",https://meghdadit.com/product/122457/microsoft-surface-laptop-4-13-5inch-core-i7-1185g7-16gb-256gb-ssd-intel-touch-la/,308x223x14.5 mm,,Intel Intel® Iris® Xe,PixelSense™ Display 2256 * 1504,256 GB HDD,DDR4,Battery Capacity Nominal (WH) 47.4Battery Capacity Min (WH) 45.8,16 GB,1.2 kg,SSD,
Silver,"49,388,000 ","50,388,000",https://meghdadit.com/product/65453/microsoft-surface-book-2-core-i7-8gb-256gb-2gb-13inch-touch/,23~13 * 232 * 312 ميلي‌متر,INTEL i7-8650U 1.9 Ghz,Nvidia Gforce GeForce® GTX 1050 GDDR5,PixelSense™ Display 2000 * 3000,256 GB HDD,DDR3,تا 17:00 ساعت پخش ویدیو,8 GB,1.53 kg,SSD,2 GB 
Platinum Gray (Silver),"28,114,000 ","28,229,000",https://meghdadit.com/product/120427/asus-vivobook-r565ep-core-i5-1135g7-8gb-1tb-256gb-ssd-2gb-full-hd-laptop/,360.2×234.9×19.9 mm,,Nvidia Gforce NVIDIA Geforce MX330,Full HD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,,8 GB,1.8 kg,SSDHDD,2 GB 
Black Gray,"42,249,000 ","42,499,000",https://meghdadit.com/product/121903/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,512 GB HDD,DDR4,,8 GB,2.3 kg,SSD,4 GB
Platinum Gray (Silver),"26,889,000 ","26,999,000",https://meghdadit.com/product/121684/asus-vivobook-r565ep-core-i5-1135g7-8gb-512gb-ssd-2gb-full-hd-laptop/,360.2×234.9×19.9 mm,,Nvidia Gforce NVIDIA Geforce MX330,Full HD 1080 * 1920,512 GB HDD,DDR4,,8 GB,1.8 kg,SSD,2 GB 
Black Gray,"44,789,000 ","44,899,000",https://meghdadit.com/product/121891/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,1 TB HDD,DDR4,,16 GB,2.3 kg,SSD,4 GB
Black Gray,"43,299,000 ","43,499,000",https://meghdadit.com/product/121892/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,512 GB HDD,DDR4,,16 GB,2.3 kg,SSD,4 GB
Black Gray,"47,474,000 ","47,599,000",https://meghdadit.com/product/121893/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,1 TB HDD,DDR4,,32 GB,2.3 kg,SSD,4 GB
Black Gray,"45,289,000 ","45,399,000",https://meghdadit.com/product/121894/asus-tuf-gaming-fx506hc-core-i5-16gb-1tb-laptop/,359x256x22 mm,INTEL i5-11400H 2.7 Ghz,Nvidia Gforce GeForce RTX3050,IPS 1080 * 1920,512 GB HDD,DDR4,,32 GB,2.3 kg,SSD,4 GB
Platinum Gray (Silver),"27,389,000 ","27,599,000",https://meghdadit.com/product/121791/asus-vivobook-r565ep-core-i5-1135g7-12gb-512gb-ssd-2gb-full-hd-laptop/,360.2×234.9×19.9 mm,,Nvidia Gforce NVIDIA Geforce MX330,Full HD 1080 * 1920,512 GB HDD,DDR4,,12 GB,1.8 kg,SSD,2 GB 
Platinum Gray (Silver),"27,289,000 ","27,399,000",https://meghdadit.com/product/123144/asus-x515ep-core-i5-1135g7-12gb-512gb-ssd-2gb-mx330-fhd-laptop/,360.2 * 234.9 * 19.9 mm,INTEL i5-1135G7 2.4 Ghz,Nvidia Gforce GeForce® MX330,FULL HD 1080 * 1920,512 GB HDD,DDR4,37 Wh,12 GB,1.8 kg,SSD,2 GB 
Platinum Gray (Silver),"30,699,000 ","30,799,000",https://meghdadit.com/product/122996/asus-x515ep-core-i7-1165g7-8gb-512gb-ssd-2gb-mx330-fhd-laptop/,360.2 * 234.9 * 19.9 mm,INTEL i7 1165G7 2.8 Ghz,Nvidia Gforce GeForce® MX330,FULL HD 1080 * 1920,512 GB HDD,DDR4,37 Wh,8 GB,1.8 kg,SSD,2 GB 
Platinum Gray (Silver),"32,399,000 ","32,499,000",https://meghdadit.com/product/122997/asus-x515ep-core-i7-1165g7-16gb-512gb-ssd-2gb-mx330-fhd-laptop/,360.2 * 234.9 * 19.9 mm,INTEL i7 1165G7 2.8 Ghz,Nvidia Gforce GeForce® MX330,FULL HD 1080 * 1920,512 GB HDD,DDR4,37 Wh,16 GB,1.8 kg,SSD,2 GB 
,,,https://meghdadit.com/product/65022/asus-e203na-n3350-4gb-500gb-intel-laptop/,16.9 * 193.3 * 286 mm,INTEL Celeron-N3350 1.1 Ghz,Intel HD 500,TFT LED-Backlit LCD 768 * 1366,500 GB HDD,DDR3,38 وات‌ساعت,4 GB,980 گرم,SATA,
,,,https://meghdadit.com/product/63598/asus-vivobook-pro-15-n580vd-core-i7-16gb-2tb256gb-ssd-4gb-4k-laptop/,381 * 254 * 20 mm,INTEL i7-7700HQ 2.8 Ghz,Nvidia Gforce GTX 1050 GDDR5,178°wide-view technology 2160 * 3840,256 GB SSD + 2 TB HDD,DDR4,47 وات‌ساعت,16 GB,2.0 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/44114/acer-aspire-e5-575g-core-i7-8gb-1tb-2gb-laptop/,23.8-30.5 * 259 * 381 mm,INTEL i7-6500U 2.5 Ghz,Nvidia Gforce 940MX,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,2800 mAh,8 GB,2.4 kg,SATA,2 GB 
,,,https://meghdadit.com/product/50982/lenovo-v110-core-i3-4gb-500gb-intel-laptop/,22.9 * 265 * 378 mm,INTEL i3-6100U 2.3 Ghz,Intel HD Graphics,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,32 Wh,4 GB,2.2 کلیوگرم,SATA,
,,,https://meghdadit.com/product/66269/lenovo-ideapad-v330-core-i5-8250-4gb-1tb-laptop/,22.9 * 260 * 379 mm,INTEL i5-8250U 1.6 Ghz,Intel UHD Graphics 620,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,32 وات‌ساعت,4 GB,2.2 kg,SATA,
,,,https://meghdadit.com/product/69469/lenovo-ideapad-130-a4-9125-4gb-1tb-amd-laptop/,375 ×253 ×23 mm,AMD A4-9125 2.3 Ghz,AMD R3,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,30 Wh,4 GB,2.1 kg,HDD,
,,,https://meghdadit.com/product/70211/lenovo-ideapad-330-core-i7-16gb-2tb-4gb-full-hd-laptop/,22.9 * 260 * 378 mm,INTEL i7-8550U 1.8 Ghz,Nvidia Gforce MX150,TFT LED-backlit LCD 1080 * 1920,2 TB HDD,DDR4,30 وات‌ساعت,16 GB,2.2 کلیوگرم,HDD,4 GB
,,,https://meghdadit.com/product/69209/lenovo-ideapad-330-n4000-4gb-1tb-2gb-hd-laptop/,22.9 * 260 * 378 mm,INTEL Celeron-N4000 1.1 Ghz,AMD Radeon 530 GDDR5,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,41 وات‌ساعت,4 GB,2.2 کلیوگرم,HDD,2 GB 
,,,https://meghdadit.com/product/50348/lenovo-ideapad-310-core-i3-4gb-1tb-intel-laptop/,22.9 * 260 * 379 mm,INTEL i3-6100U 2.3 Ghz,Intel HD Graphics 520,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,30 Wh,4 GB,2.2 kg,SATA,
,,,https://meghdadit.com/product/65023/lenovo-ideapad-320-core-i3-6006-4gb-500gb-intel-laptop/,22.9 * 265 * 378 mm,INTEL i3-6006U 2.0 Ghz,Intel HD Graphics 520,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,30 وات‌ساعت,4 GB,2.2 کلیوگرم,SATA,
,,,https://meghdadit.com/product/64947/lenovo-ideapad-320-core-i5-4gb-1tb-2gb-laptop/,22.9 * 265 * 378 mm,INTEL i5-7200U 2.5 Ghz,AMD Radeon AMD Radeon™ 530,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,35 وات‌ساعت,4 GB,2.2 کلیوگرم,SATA,2 GB 
,,,https://meghdadit.com/product/45360/acer-aspire-e5-575g-core-i5-4gb-500gb-2gb-laptop/,23.8-30.5 * 259 * 381 mm,INTEL i5-6200U 2.3 Ghz,Nvidia Gforce 940MX,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,2800 mAh,4 GB,2.4 kg,SATA,2 GB 
,,,https://meghdadit.com/product/3533/lenovo-b5080-core-i5-6gb-1tb-2gb/,24.7 * 262 * 380 mm,INTEL i5-5200U 2.2 Ghz,AMD Radeon R5 M230,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR3,,6 GB,2.32 kg,SATA,2 GB 
,,,https://meghdadit.com/product/107584/lenovo-ideapad-130-a6-9225-8gb-1tb-2gb-laptop/,375 ×253 ×23 mm,AMD A6-9225 2.5 Ghz,AMD Radeon m440,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,30 Wh,8 GB,2.1 kg,HDD,2 GB 
,,,https://meghdadit.com/product/109135/lenovo-ideapad-v130-core-i3-8130u-4gb-1tb-intel-hd-laptop/,22.3 * 253 * 375 mm,INTEL i3-8130U 2.2 Ghz,Intel HD Graphics,TN 768 * 1366,1 TB HDD,DDR4,,4 GB,1.7 کلیوگرم,HDD,
,,,https://meghdadit.com/product/110194/lenovo-ideapad-l3-core-i3-10110u-8gb-1tb-2gb-hd-laptop/,363x254.6x22.9 mm,INTEL I3-10110U 2.2 Ghz,Nvidia Gforce MX130,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,36 Wh,8 GB,2.2 کلیوگرم,HDD,2 GB 
,,,https://meghdadit.com/product/110543/lenovo-ideapad-l3-core-i5-10210u-8gb-1tb-2gb-full-hd-laptop/,363x254.6x22.9 mm,INTEL i5 10210U 2.0 Ghz,Nvidia Gforce MX130,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,36 Wh,8 GB,2.2 کلیوگرم,HDD,2 GB 
,,,https://meghdadit.com/product/64998/asus-r556qg-a12-9720p-8gb-1tb-2gb-full-hd-laptop/,25.8 * 256 * 382 mm,AMD A12-9720P 2.5 Ghz,AMD Radeon R8 M435DX,TFT LED-Backlit LCD 1080 * 1920,1 TB HDD,DDR4,37 وات‌ساعت,8 GB,2.2 کيلوگرم,SATA,2 GB 
,,,https://meghdadit.com/product/65168/asus-vivobook-max-x540u-core-i5-8gb-1tb-2gb-hd-laptop/,381.4 * 251.5 * 27.6 ~27.6 mm,INTEL i5-7200U 2.5 Ghz,Nvidia Gforce 920MX,TFT LED-Backlit LCD 768 * 1366,1 TB HDD,DDR4,36 Wh,8 GB,2 kg,SATA,2 GB 
,,,https://meghdadit.com/product/68048/asus-r542un-core-i7-8gb-1tb-4gb-full-hd-laptop/,23.2 * 251 * 380 mm,INTEL i7-8550U 1.8 Ghz,Nvidia GeForce MX150 DDR5,TFT LED-Backlit LCD 1080 * 1920,1 TB HDD,DDR4,38 Wh,8 GB,2.15 kg,HDD,4 GB
,,,https://meghdadit.com/product/48026/asus-vivobook-max-x541u-core-i3-4gb-1tb-intel-laptop/,381.4 * 251.5 * 27.6 ~27.6 mm,INTEL i3-6006U 2.3 Ghz,Intel HD Graphics 520,TFT LED-Backlit LCD 768 * 1366,1 TB HDD,DDR4,36 Wh,4 GB,2 kg,SATA,
,,,https://meghdadit.com/product/3255/asus-x555lj-core-i5-8gb-1tb-2gb-laptop/,25.8 * 256 * 382 mm,INTEL i5-5200U 2.2 Ghz,Nvidia Gforce 920M,TFT LED Backlit LCD 768 * 1366,1 TB HDD,DDR3,37 Wh,8 GB,2.3 kg,SATA,2 GB 
,,,https://meghdadit.com/product/109982/asus-m509dj-ryzen-7-3700u-8gb-1tb-256gb-ssd-2gb-full-hd-laptop/,360.2 * 234.9 * 22.9 mm,,Nvidia Gforce NVIDIA® GeForce® MX230 GDDR5 VRAM,LED-backlit FHD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,32 Wh,8 GB,1.8 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/87092/asus-f540na-n3350-4gb-1tb-intel-laptop/,27.2 * 251 * 381 mm,INTEL Celeron-N3350 1.1 Ghz,Intel HD 620,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,33 وات‌ساعت,4 GB,1.9 kg,HDD,
,,,https://meghdadit.com/product/51762/asus-a540up-core-i5-8gb-1tb-2gb-full-hd-laptop/,27.2 * 251.5 * 381.4 mm,INTEL i5-7200U 2.5 Ghz,AMD Radeon R5 M420,TFT LED-Backlit LCD 1080 * 1920,1 TB HDD,DDR4,,8 GB,2.0 kg,SATA,2 GB 
,,,https://meghdadit.com/product/75917/asus-k543ub-core-i7-8gb-1tb-2gb-laptop/,27.2 × 251 × 381 ميلي‌متر,INTEL i7-8550U 1.8 Ghz,Nvidia Gforce MX110 GDDR5,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,33 Wh,8 GB,1.9 kg,HDD,2 GB 
,,,https://meghdadit.com/product/109672/asus-vivobook-x543ma-n4000-4gb-1tb-intel-full-hd-laptop/,27.2 × 251 × 381 mm,INTEL Celeron-N4000 1.1 Ghz,Intel HD GRAPHICS 500,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,33 Wh,4 GB,1.9 kg,HDD,
,,,https://meghdadit.com/product/107754/asus-x540mb-n4000-4gb-1tb-2gb-full-hd-laptop/,27.2 × 251 × 381 mm,INTEL Celeron-N4000 1.1 Ghz,Nvidia Gforce GeForce® MX110,"15.6"" (16:9) LED-backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC 1080 * 1920",1 TB HDD,DDR4,33 وات‌ساعت,4 GB,1.9 kg,HDD,2 GB 
,,,https://meghdadit.com/product/46330/asus-e202sa-n3050-4gb-500gb-intel-laptop/,21.4 * 194 * 297 mm,INTEL Celeron-N3050 1.6 Ghz,Intel HD Graphics,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,48 وات‌ساعت,4 GB,1.25 kg,SATA,
,,,https://meghdadit.com/product/4555/asus-x554lj-core-i3-4gb-500gb-1gb/,31.7 * 256 * 382 mm,INTEL i3-5010U 2.1 Ghz,Nvidia Gforce GT 920M,LED Bright 768 * 1366,500 GB HDD,DDR3,,4 GB,2.3 kg,SATA,1 GB 
,,,https://meghdadit.com/product/71664/apple-macbook-pro-2019-mv912-core-i9-laptop/,15 * 240 * 349 mm,,AMD Radeon Pro 560X GDDR5,IPS LCD 1800 * 2880,512 GB HDD,DDR4,83.6 Wh,16 GB,1.83 kg,SSD,4 GB
,,,https://meghdadit.com/product/75920/lenovo-ideapad-l340-core-i5-8gb-1tb-2gb-full-hd-laptop/,363x 254.6x 22.9 mm,INTEL i5-8265U 1.6 Ghz,Nvidia Gforce MX230,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,,8 GB,2.2 کلیوگرم,HDD,2 GB 
,,,https://meghdadit.com/product/62681/lenovo-v110-n4200-4gb-500gb-intel-laptop/,22.9 * 265 * 378 mm,INTEL Pentium-N4200 1.1 Ghz,Intel HD Graphics 505,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,32 Wh,4 GB,2.2 کلیوگرم,SATA,
,,,https://meghdadit.com/product/69757/hp-bs151nia-core-i3-4gb-500gb-intel-laptop/,23.8 * 253.8 * 380 mm,INTEL i3-5005U 2.0 Ghz,Intel HD Graphics 5500,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,31 Wh,4 GB,2.1 kg,HDD,2 GB 
,,,https://meghdadit.com/product/52189/lenovo-ideapad-320-n3350-4gb-500gb-intel-laptop/,22.9 * 265 * 378 mm,INTEL Celeron-N3350 1.1 Ghz,Intel HD Graphics 500,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,30 وات‌ساعت,4 GB,2.2 کلیوگرم,SATA,
,,,https://meghdadit.com/product/65145/lenovo-ideapad-v330-core-i7-8gb-1tb-2gb-full-hd-laptop/,22.9 * 260 * 379 mm,INTEL i7-8550U 1.8 Ghz,AMD Radeon R5 M430,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,32 وات‌ساعت,8 GB,2.2 kg,SATA,2 GB 
,,,https://meghdadit.com/product/51040/lenovo-ideapad-110-core-i3-4gb-1tb-2gb-laptop/,22.9 * 265 * 378 mm,INTEL i3-6100U 2.3 Ghz,AMD Radeon R5 M430,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,24 Wh,4 GB,2.2 کلیوگرم,SATA,2 GB 
,,,https://meghdadit.com/product/43223/acer-aspire-e5-575g-core-i3-4gb-1tb-2gb-full-hd-laptop/,23.8-30.5 * 259 * 381 mm,INTEL i3-6006U 2.0 Ghz,Nvidia Gforce 940MX GDDR5,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR3L,2800 mAh,4 GB,2.4 kg,SATA,2 GB 
,,,https://meghdadit.com/product/109674/lenovo-ideapad-l3-core-i7-10510u-8gb-1tb-128gb-ssd-2gb-laptop/,363x254.6x22.9 mm,,Nvidia Gforce MX130,TFT LED-backlit LCD 1080 * 1920,128 GB SSD + 1 TB HDD,DDR4,36 Wh,8 GB,2.2 کلیوگرم,SSDHDD,2 GB 
,,,https://meghdadit.com/product/42485/asus-k556uq-core-i7-8gb-1tb-2gb-full-hd-laptop/,25.5 * 251 * 378 mm,INTEL i7-7500U 2.5 Ghz,Nvidia Gforce GT 940MX,TFT LED-Backlit LCD 1080 * 1920,1 TB HDD,DDR4,38 Wh,8 GB,2.3 kg,SATA,2 GB 
,,,https://meghdadit.com/product/50746/asus-vivobook-max-x541uv-core-i3-4gb-1tb-2gb-fhd-laptop/,381.4 * 251.5 * 27.6 ~27.6 mm,INTEL i3-7100U 2.0 Ghz,Nvidia Gforce 930M,TFT LED-Backlit LCD 1080 * 1920,1 TB HDD,DDR4,36 Wh,4 GB,2 kg,SATA,2 GB 
,,,https://meghdadit.com/product/63633/asus-vivobook-max-x541na-n3350-4gb-500gb-intel-laptop/,381.4 * 251.5 * 27.6 ~27.6 mm,INTEL Celeron-N3350 1.1 Ghz,Intel HD Graphics,TFT LED-Backlit LCD 768 * 1366,500 GB HDD,DDR3,36 Wh,4 GB,2 kg,SATA,
,,,https://meghdadit.com/product/69134/asus-vivobook-r542bp-a6-9220-8gb-1tb-2gb-full-hd-laptop/,23.2 * 251 * 380 mm,AMD A6-9220 2.5 Ghz,AMD Radeon R5 M420,TFT LED-Backlit LCD 1080 * 1920,1 TB HDD,DDR4,38 Wh,8 GB,2.3 kg,SATA,2 GB 
,,,https://meghdadit.com/product/107891/asus-vivobook-k571gt-core-i7-16gb-1tb-512gb-ssd-4gb-full-hd-laptop/,359 * 248 * 21.9 mm,INTEL i7-9750H 2.6 Ghz,Nvidia Gforce GTX 1650 GDDR5,,512 GB SSD + 1 TB HDD,DDR4,42 Wh,16 GB,1.9 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/46792/acer-aspire-es1-572-core-i3-4gb-500gb-intel-laptop/,27 * 259 * 381 mm,INTEL i3-6100U 2.0 Ghz,Intel HD Graphics 5500,LED Backlight 768 * 1366,500 GB HDD,DDR3,3220 mAh,4 GB,2.4 kg,SATA,
,,,https://meghdadit.com/product/51148/acer-aspire-e5-575g-core-i3-4gb-1tb-intel-laptop/,23.8-30.5 * 259 * 381 mm,INTEL i3-6006U 2.0 Ghz,Intel HD Graphics 620,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,2800 mAh,4 GB,2.4 kg,SATA,
,,,https://meghdadit.com/product/110707/asus-laptop-15-x509ja-core-i3-1005g1-4gb-1tb-intel-hd-laptop/,360.2 * 234.9 * 22.9 mm,,Intel Integrated Intel UHD Graphics,LED-backlit 768 * 1366,1 TB HDD,DDR4,32 Wh,4 GB,1.8 kg,HDD,
,,,https://meghdadit.com/product/70163/asus-vivobook-x540ya-e1-6010-2gb-500gb-amd-laptop/,27.2 * 251.5 * 381.4 mm,AMD E1-6010 1.35 GBهز,AMD Radeon R2 Graphics,TFT LED-Backlit LCD 768 * 1366,500 GB HDD,DDR3,33 وات‌ساعت,2 GB,2.0 kg,HDD,
Gray,"23,450,000 ","23,500,000",https://meghdadit.com/product/134373/lenovo-thinkbook-15-core-i3-1115g4-12gb-1tb-256gb-ssd-2gb-mx450-fhd-laptop/,357x235x18.9 mm,INTEL I3-1115G4 3.0 Ghz,Nvidia Gforce MX450,,256 GB SSD + 1 TB HDD,DDR4,45WHr,12 GB,1.7 kg,SSDHDD,2 GB 
Indigo,"26,830,000 ","27,030,000",https://meghdadit.com/product/134518/lenovo-ideapad-3-core-i5-1155g7-8gb-1tb-512gb-ssd-2gb-mx350-fhd-laptop/,362.2×253.4×19.9 mm,INTEL i5-1155G7 2.4 Ghz,Nvidia Gforce NVIDIA Geforce MX350,,512 GB SSD + 1 TB HDD,DDR4,ظرفیت 38 Wh,8 GB,1.75 کلیوگرم,SSDHDD,2 GB 
Gray,"17,180,000 ","17,180,000 ",https://meghdadit.com/product/134545/lenovo-ideapad-5-core-i3-1115g4-4gb-1tb-ssd-2gb-mx450-fhd-ips-laptop/,356.6×233.1×19.9 mm,INTEL I3-1115G4 3.0 Ghz,Nvidia Gforce MX450,IPS 1080 * 1920,1 TB HDD,DDR4,70 Wh,4 GB,1.66 کلیوگرم,SSD,2 GB 
,"23,000,000 ","23,000,000 ",https://meghdadit.com/product/134554/lenovo-thinkbook-15-core-i3-1115g4-12gb-1tb-128gb-ssd-2gb-mx450-fhd-laptop/,357x235x18.9 mm,INTEL I3-1115G4 3.0 Ghz,Nvidia Gforce MX450,,128 GB SSD + 1 TB HDD,DDR4,45WHr,12 GB,1.7 kg,SSDHDD,2 GB 
Gray,"22,550,000 ","22,550,000 ",https://meghdadit.com/product/134555/lenovo-thinkbook-15-core-i3-1115g4-12gb-1tb-hdd-2gb-mx450-fhd-laptop/,357x235x18.9 mm,INTEL I3-1115G4 3.0 Ghz,Nvidia Gforce MX450,,1 TB HDD,DDR4,45WHr,12 GB,1.7 kg,HDD,2 GB 
Gray,"22,500,000 ","22,500,000 ",https://meghdadit.com/product/134556/lenovo-thinkbook-15-core-i3-1115g4-12gb-256gb-ssd-2gb-mx450-fhd-laptop/,357x235x18.9 mm,INTEL I3-1115G4 3.0 Ghz,Nvidia Gforce MX450,,256 GB HDD,DDR4,45WHr,12 GB,1.7 kg,SSD,2 GB 
