CV,feature
2.455051159366608,cpu
2.446699456972033,gpu
1.58294055728893,ram
1.5779711484284091,manufacturer
2.4469062944329085,os
1.176894673931223,category
2.7754620723026022,screen
2.2814678055397293,storage
1.830288811856583,weight
