index,value
2,0.001206399389797601
4,0.22135376852377467
6,0.02467143854730382
8,0.571418687298796
12,0.02000464487392598
16,0.1496750609409033
24,0.0016822988580942133
32,0.00963061619569735
64,0.0003570853717070542
